artist	album
Up10tion	Novella
Kep1er	First Impact
Onewe	Planet Nine: Voyager
ASP	Placebo
Omega X	Love Me Like
SixTones	City
Burial	Antidawn
Montana of 300	Rap God
Dope Lemon	Rose Pink Cadillac
Gunna	DS4Ever
Inna	Champagne Problems #DQH1
RuPaul	Mamaru
Spector	Now or Whenever
Tony Malaby's Sabino	The Cave of Winds
Twin Atlantic	Transparency
The Weeknd	Dawn FM
Yuuri	Ichi
Excision	Onyx
Anna von Hausswolff	Live at Montreux Jazz Festival
Blood Red Shoes	Ghosts on Tape
Bonobo	Fragments
Cat Power	Covers
Cordae	From a Birds Eye View
Drew Holcomb & Ellie Holcomb	Coming Home: A Collection of Songs
Earl Sweatshirt	Sick!
Eliza Gilkyson	Songs from the River Wind
Elvis Costello & The Imposters	The Boy Named If
Enterprise Earth	The Chosen
Fickle Friends	Are We Gonna Be Alright?
FKA Twigs	Caprisongs
The Lumineers	Brightside
Magnum	The Monster Roars
Tony Martin	Thorns
Underoath	Voyeurist
The Wombats	Fix Yourself, Not the World
Molly Nilsson	Extreme
Moonbyul	6equence
Hikaru Utada	Bad Mode
Pedro the Lion	Havasu
Rich Brian	Brightside
Aoife O'Donovan	Age of Apathy
Aurora	The Gods We Can Touch
Billy Talent	Crisis of Faith
Boris	W
Christina Aguilera	La Fuerza
Iann Dior	On to Better Things
Iced Earth	A Narrative Soundscape
Janis Ian	The Light at the End of the Line
John Mellencamp	Strictly a One-Eyed Jack
Kiefer Sutherland	Bloor Street
King Gizzard & the Lizard Wizard	Butterfly 3001
Miles Kane	Change the Show
Palace	Shoals
Paul Oakenfold	Shine On
The Sherlocks	World I Understand
Silvana Estrada	Marchita
Walker Hayes	Country Stuff the Album
Yard Act	The Overload
Years & Years	Night Call
YoungBoy Never Broke Again	Colors
Scandal	Mirror
Glaive	Old Dog, New Tricks
Aaron Lewis	Frayed at Both Ends
Amber Mark	Three Dimensions Deep
Anaïs Mitchell	Anaïs Mitchell
Bad Suns	Apocalypse Whenever
Beirut	Artifacts
Earthless	Night Parade of One Hundred Demons
Eels	Extreme Witchcraft
Five	Time
Gigi De Lana	Gigi De Lana
Jethro Tull	The Zealot Gene
Katie Dey	Forever Music
Krallice	Crystalline Exhaustion
Kyle	It's Not So Bad
Maddie & Tae	Through the Madness, Vol. 1
Madrugada	Chimes at Midnight
MØ	Motordrome
NLE Choppa	Me vs. Me
Pinegrove	11:11
Sebastián Yatra	Dharma
St. Paul and The Broken Bones	The Alien Coast
Steve Vai	Inviolate
Ayaka	Love Cycle
Airi Suzuki	26/27
Cynhn	Blue Cresc.
Milet	Visions
2 Chainz	Dope Don't Sell Itself
Animal Collective	Time Skiffs
As It Is	I Went to Hell and Back
Bastille	Give Me the Future
Beam	Alien
Black Country, New Road	Ants from Up There
Cate Le Bon	Pompeii
Circa Survive	A Dream About Death
Dr. Dre	Grand Theft Auto: The Contract
Jennifer Lopez and Maluma	Marry Me
Junglepussy	JP5000
Korn	Requiem
Marissa Nadler	The Wrath of the Clouds
Mitski	Laurel Hell
A Place to Bury Strangers	See Through You
Rolo Tomassi	Where Myth Becomes Memory
Saba	Few Good Things
Saxon	Carpe Diem
The Slow Show	Still Life
Venom Prison	Erebos
Yeule	Glitch Princess
J. Holiday	Time
Liyuu	Fo (u) r YuU
Alt-J	The Dream
Amorphis	Halo
Amos Lee	Dreamland
Author & Punisher	Krüller
Big Thief	Dragon New Warm Mountain I Believe in You
Cult of Luna	The Long Road North
Eddie Vedder	Earthling
Foxes	The Kick
Frank Turner	FTHC
Graace	Self Preservation
Half Alive	Give Me Your Shoulders Pt. 1
Joss Stone	Never Forget My Love
Joywave	Cleanse
Kim Petras	Slut Pop
Mary J. Blige	Good Morning Gorgeous
Maverick City Music	Breathe
Once Human	Scar Weaver
Raveena	Asha's Awakening
Shamir	Heterosexuality
Slash feat. Myles Kennedy & The Conspirators	4
