,artist_name,album_name,album_id,track_name,track_id,popularity,release_date,duration_ms,explicit,external_urls,is_local,preview_url,track_number,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Sara Bareilles,The Blessed Unrest,7lpbyGc4fHsQkBTsfWVBhp,Brave,6Uy6K3KdmUdAfelUp0SeXn,66,2013-07-16,220573,False,https://open.spotify.com/track/6Uy6K3KdmUdAfelUp0SeXn,False,https://p.scdn.co/mp3-preview/43d2cef16aa11c7d469a2dd6b486331c2041774f?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,audio_features,6Uy6K3KdmUdAfelUp0SeXn,spotify:track:6Uy6K3KdmUdAfelUp0SeXn,https://api.spotify.com/v1/tracks/6Uy6K3KdmUdAfelUp0SeXn,https://api.spotify.com/v1/audio-analysis/6Uy6K3KdmUdAfelUp0SeXn,220573,4
1,Drew Holcomb & The Neighbors,Good Light,4WXwjwVrr6TFi0HpE5QXq4,What Would I Do Without You,11TK5KLtLZUdKr1C549bAw,62,2013-02-19,172213,False,https://open.spotify.com/track/11TK5KLtLZUdKr1C549bAw,False,https://p.scdn.co/mp3-preview/ba1ae623cc01e3dec1163d01b23d80b57b7546cf?cid=78e434819ce74de2a9da9bd344483f65,9,acoustic,0.602,0.336,8,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,90.894,audio_features,11TK5KLtLZUdKr1C549bAw,spotify:track:11TK5KLtLZUdKr1C549bAw,https://api.spotify.com/v1/tracks/11TK5KLtLZUdKr1C549bAw,https://api.spotify.com/v1/audio-analysis/11TK5KLtLZUdKr1C549bAw,172213,4
2,Sara Bareilles,The Blessed Unrest,7lpbyGc4fHsQkBTsfWVBhp,I Choose You,7jJH8F3PHlNvxfqEAAfFDl,58,2013-07-16,218573,False,https://open.spotify.com/track/7jJH8F3PHlNvxfqEAAfFDl,False,https://p.scdn.co/mp3-preview/ffaf75a8d469476d6a08e241c05929ea4c33f719?cid=78e434819ce74de2a9da9bd344483f65,9,acoustic,0.731,0.572,6,-7.889,0,0.0445,0.105,0.00012,0.133,0.947,154.038,audio_features,7jJH8F3PHlNvxfqEAAfFDl,spotify:track:7jJH8F3PHlNvxfqEAAfFDl,https://api.spotify.com/v1/tracks/7jJH8F3PHlNvxfqEAAfFDl,https://api.spotify.com/v1/audio-analysis/7jJH8F3PHlNvxfqEAAfFDl,218573,4
3,Ben Rector,The Walking in Between,0kuIIUFaebmwLCmhp6nwVu,I Like You,7Afr3PKTtlFGHGiXYgnv6P,54,2013-08-20,138506,False,https://open.spotify.com/track/7Afr3PKTtlFGHGiXYgnv6P,False,https://p.scdn.co/mp3-preview/441726fad59c5e7737e883562ee914b41a5470e4?cid=78e434819ce74de2a9da9bd344483f65,5,acoustic,0.624,0.334,3,-11.89,1,0.0391,0.321,3.27e-06,0.113,0.397,157.92,audio_features,7Afr3PKTtlFGHGiXYgnv6P,spotify:track:7Afr3PKTtlFGHGiXYgnv6P,https://api.spotify.com/v1/tracks/7Afr3PKTtlFGHGiXYgnv6P,https://api.spotify.com/v1/audio-analysis/7Afr3PKTtlFGHGiXYgnv6P,138507,4
4,Five For Fighting,Bookmarks,4jp3FXjLRy8upwcvWZJAh0,Heaven Knows,0qJGlogD7AyMLAJfQ42aI2,56,2013-09-17,210612,False,https://open.spotify.com/track/0qJGlogD7AyMLAJfQ42aI2,False,https://p.scdn.co/mp3-preview/49f21381535bd0d42ab116b4c41b45b2810f42de?cid=78e434819ce74de2a9da9bd344483f65,3,acoustic,0.6,0.845,10,-7.076,1,0.0311,0.048,0.0,0.24,0.392,97.631,audio_features,0qJGlogD7AyMLAJfQ42aI2,spotify:track:0qJGlogD7AyMLAJfQ42aI2,https://api.spotify.com/v1/tracks/0qJGlogD7AyMLAJfQ42aI2,https://api.spotify.com/v1/audio-analysis/0qJGlogD7AyMLAJfQ42aI2,210612,4
5,Ivan & Alyosha,All The Times We Had,0jzTdtbn35qUvZhDJug39x,Running for Cover,6GZEEoTST2iZcU52LfVDHZ,49,2013-02-26,236280,False,https://open.spotify.com/track/6GZEEoTST2iZcU52LfVDHZ,False,https://p.scdn.co/mp3-preview/bf20dca9cff92e5a0224f2d99fe26c0fe9b168ec?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.295,0.717,1,-7.537,1,0.0386,0.00691,1.05e-06,0.101,0.228,116.95,audio_features,6GZEEoTST2iZcU52LfVDHZ,spotify:track:6GZEEoTST2iZcU52LfVDHZ,https://api.spotify.com/v1/tracks/6GZEEoTST2iZcU52LfVDHZ,https://api.spotify.com/v1/audio-analysis/6GZEEoTST2iZcU52LfVDHZ,236280,4
6,Front Porch Step,Aware,3z55Kfwyk2NIUHhcMGZ7Yb,Drown,3ktWkdvtG0CF0T2dEpek0H,50,2013-11-12,218368,False,https://open.spotify.com/track/3ktWkdvtG0CF0T2dEpek0H,False,https://p.scdn.co/mp3-preview/44473d2a3c2595024ed21e97898068215bd4889d?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.57,0.662,8,-3.872,1,0.0363,0.0966,0.0,0.161,0.856,94.948,audio_features,3ktWkdvtG0CF0T2dEpek0H,spotify:track:3ktWkdvtG0CF0T2dEpek0H,https://api.spotify.com/v1/tracks/3ktWkdvtG0CF0T2dEpek0H,https://api.spotify.com/v1/audio-analysis/3ktWkdvtG0CF0T2dEpek0H,218368,4
7,The Civil Wars,The Civil Wars,79FSQez4eiOFA4Kx8Bxgyy,Devil’s Backbone,1XTp9AoHDoCQMmMWH0ch8M,49,2013-08-02,149000,False,https://open.spotify.com/track/1XTp9AoHDoCQMmMWH0ch8M,False,https://p.scdn.co/mp3-preview/c02db83b18c22ce8d82989dbfacb950eaffba2ce?cid=78e434819ce74de2a9da9bd344483f65,6,acoustic,0.337,0.341,4,-10.123,0,0.0348,0.854,7.63e-05,0.241,0.348,114.538,audio_features,1XTp9AoHDoCQMmMWH0ch8M,spotify:track:1XTp9AoHDoCQMmMWH0ch8M,https://api.spotify.com/v1/tracks/1XTp9AoHDoCQMmMWH0ch8M,https://api.spotify.com/v1/audio-analysis/1XTp9AoHDoCQMmMWH0ch8M,149000,4
8,Andrew Belle,Black Bear,2Objy4bpKyIT4JsUsBr8ka,The Enemy,6xJOhSm4SvZwzy3uhWz26O,55,2013-08-20,286865,False,https://open.spotify.com/track/6xJOhSm4SvZwzy3uhWz26O,False,https://p.scdn.co/mp3-preview/ff831dd6914ed9844fec69d01ab4bee4b99d38d4?cid=78e434819ce74de2a9da9bd344483f65,8,acoustic,0.536,0.89,1,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,121.974,audio_features,6xJOhSm4SvZwzy3uhWz26O,spotify:track:6xJOhSm4SvZwzy3uhWz26O,https://api.spotify.com/v1/tracks/6xJOhSm4SvZwzy3uhWz26O,https://api.spotify.com/v1/audio-analysis/6xJOhSm4SvZwzy3uhWz26O,286866,4
9,Andrew Belle,Black Bear,2Objy4bpKyIT4JsUsBr8ka,Pieces,2DHDuADAHoUW6n0z80RLQF,55,2013-08-20,241119,False,https://open.spotify.com/track/2DHDuADAHoUW6n0z80RLQF,False,https://p.scdn.co/mp3-preview/33e9666941e666fefec8187d989c128a87524f07?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,audio_features,2DHDuADAHoUW6n0z80RLQF,spotify:track:2DHDuADAHoUW6n0z80RLQF,https://api.spotify.com/v1/tracks/2DHDuADAHoUW6n0z80RLQF,https://api.spotify.com/v1/audio-analysis/2DHDuADAHoUW6n0z80RLQF,241119,4
