artist_name,album_name,album_id,track_name,track_id,popularity,release_date,duration_ms,explicit,external_urls,is_local,preview_url,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Gen Hoshino,Comedy,41ERrwfzos93Xlf6hFBiDn,Comedy,5SuOikwiRyPMVoIQDJUgSV,66,2022-04-08,230666,False,https://open.spotify.com/track/5SuOikwiRyPMVoIQDJUgSV,False,https://p.scdn.co/mp3-preview/56ee6d51af5c3a28dde9e54403320c72be105b29?cid=78e434819ce74de2a9da9bd344483f65,1,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,audio_features,5SuOikwiRyPMVoIQDJUgSV,spotify:track:5SuOikwiRyPMVoIQDJUgSV,https://api.spotify.com/v1/tracks/5SuOikwiRyPMVoIQDJUgSV,https://api.spotify.com/v1/audio-analysis/5SuOikwiRyPMVoIQDJUgSV,230667,4
Ray LaMontagne,I Was Born To Love You,7cwHkTgTHLbCUFB6hRi9QQ,I Was Born To Love You,3PG6V5yuFfo4APiovOQoRv,64,2022-04-08,265843,False,https://open.spotify.com/track/3PG6V5yuFfo4APiovOQoRv,False,https://p.scdn.co/mp3-preview/46ff8588929ba7bd1666bc593aca5226de2ead32?cid=78e434819ce74de2a9da9bd344483f65,1,0.65,0.271,9,-11.081,1,0.0314,0.794,6.9e-05,0.196,0.21,78.036,audio_features,3PG6V5yuFfo4APiovOQoRv,spotify:track:3PG6V5yuFfo4APiovOQoRv,https://api.spotify.com/v1/tracks/3PG6V5yuFfo4APiovOQoRv,https://api.spotify.com/v1/audio-analysis/3PG6V5yuFfo4APiovOQoRv,265843,4
Steve Moakler,Make A Little Room,457Ok9pnF5fAfG7lNUFqHS,Make A Little Room,62yXckrKNy9Sylka6oifst,53,2022-08-12,180493,False,https://open.spotify.com/track/62yXckrKNy9Sylka6oifst,False,https://p.scdn.co/mp3-preview/5dcabbd94b669a08eb0b499f14da6bf907ac3b85?cid=78e434819ce74de2a9da9bd344483f65,1,0.758,0.722,1,-6.252,1,0.0511,0.165,6.5e-06,0.106,0.66,146.031,audio_features,62yXckrKNy9Sylka6oifst,spotify:track:62yXckrKNy9Sylka6oifst,https://api.spotify.com/v1/tracks/62yXckrKNy9Sylka6oifst,https://api.spotify.com/v1/audio-analysis/62yXckrKNy9Sylka6oifst,180493,4
Ben Rector,The Joy of Music,1l4VD485oDSJM23eWJEWJN,Steady Love,6UOkF086zUgYXnqFxqUvEI,55,2022-03-11,224333,False,https://open.spotify.com/track/6UOkF086zUgYXnqFxqUvEI,False,https://p.scdn.co/mp3-preview/173b473ca21bbc2c633b64a34356f2ac5e644c30?cid=78e434819ce74de2a9da9bd344483f65,4,0.678,0.277,11,-10.537,1,0.0602,0.843,3.91e-06,0.104,0.238,76.935,audio_features,6UOkF086zUgYXnqFxqUvEI,spotify:track:6UOkF086zUgYXnqFxqUvEI,https://api.spotify.com/v1/tracks/6UOkF086zUgYXnqFxqUvEI,https://api.spotify.com/v1/audio-analysis/6UOkF086zUgYXnqFxqUvEI,224333,4
Ben Rector,The Joy of Music,1l4VD485oDSJM23eWJEWJN,Living My Best Life,0R7EWhquaAICmyE5MZqt3q,54,2022-03-11,215213,False,https://open.spotify.com/track/0R7EWhquaAICmyE5MZqt3q,False,https://p.scdn.co/mp3-preview/697c72a3a0750cd9521d282c3617842d60603060?cid=78e434819ce74de2a9da9bd344483f65,3,0.566,0.733,4,-5.302,1,0.0699,0.083,1.55e-06,0.362,0.636,178.828,audio_features,0R7EWhquaAICmyE5MZqt3q,spotify:track:0R7EWhquaAICmyE5MZqt3q,https://api.spotify.com/v1/tracks/0R7EWhquaAICmyE5MZqt3q,https://api.spotify.com/v1/audio-analysis/0R7EWhquaAICmyE5MZqt3q,215213,4
Drew Holcomb,Coming Home: A Collection of Songs,6fuKDHZ9UfLmssjdRTjPfz,Coming Home,2C3gh14oarzTtv3aY3HJ0m,52,2022-01-14,146360,False,https://open.spotify.com/track/2C3gh14oarzTtv3aY3HJ0m,False,https://p.scdn.co/mp3-preview/8cdbcef6f8493144cd4470f9d4a3e409ea401e0e?cid=78e434819ce74de2a9da9bd344483f65,1,0.625,0.81,10,-5.995,1,0.033,0.146,2.72e-05,0.135,0.741,104.066,audio_features,2C3gh14oarzTtv3aY3HJ0m,spotify:track:2C3gh14oarzTtv3aY3HJ0m,https://api.spotify.com/v1/tracks/2C3gh14oarzTtv3aY3HJ0m,https://api.spotify.com/v1/audio-analysis/2C3gh14oarzTtv3aY3HJ0m,146360,4
Penny and Sparrow,Olly Olly,4ruy6zMB9t2sKrNyK2B8zF,Need You,7f0PCIJFVw7U5tbuFH4rb0,54,2022-01-21,189282,False,https://open.spotify.com/track/7f0PCIJFVw7U5tbuFH4rb0,False,https://p.scdn.co/mp3-preview/3cafe5e4ac661f0492de9545df0a4d7fe44195f8?cid=78e434819ce74de2a9da9bd344483f65,3,0.545,0.642,10,-7.344,1,0.0279,0.517,1.75e-06,0.116,0.555,78.51,audio_features,7f0PCIJFVw7U5tbuFH4rb0,spotify:track:7f0PCIJFVw7U5tbuFH4rb0,https://api.spotify.com/v1/tracks/7f0PCIJFVw7U5tbuFH4rb0,https://api.spotify.com/v1/audio-analysis/7f0PCIJFVw7U5tbuFH4rb0,189282,4
Penny and Sparrow,Olly Olly,4ruy6zMB9t2sKrNyK2B8zF,Alabama Haint,2Z7yllvjIQhTpCa5909jLs,51,2022-01-21,182601,False,https://open.spotify.com/track/2Z7yllvjIQhTpCa5909jLs,False,https://p.scdn.co/mp3-preview/6d7b51a77270b0087882906739d2721f63392c2e?cid=78e434819ce74de2a9da9bd344483f65,2,0.589,0.422,4,-10.78,0,0.0296,0.868,0.0279,0.0897,0.293,94.968,audio_features,2Z7yllvjIQhTpCa5909jLs,spotify:track:2Z7yllvjIQhTpCa5909jLs,https://api.spotify.com/v1/tracks/2Z7yllvjIQhTpCa5909jLs,https://api.spotify.com/v1/audio-analysis/2Z7yllvjIQhTpCa5909jLs,182601,4
Andrew Ripp,Fill My Cup,3EcsslHYdm8UlzuwnvaA9O,Fill My Cup,7FYMyfcZtTnNbv5pVK0YbD,48,2022-02-25,207084,False,https://open.spotify.com/track/7FYMyfcZtTnNbv5pVK0YbD,False,https://p.scdn.co/mp3-preview/9cb8edc98709037b586372ba60850c25a7557447?cid=78e434819ce74de2a9da9bd344483f65,1,0.339,0.639,5,-5.162,1,0.0313,0.0679,0.0,0.291,0.565,83.132,audio_features,7FYMyfcZtTnNbv5pVK0YbD,spotify:track:7FYMyfcZtTnNbv5pVK0YbD,https://api.spotify.com/v1/tracks/7FYMyfcZtTnNbv5pVK0YbD,https://api.spotify.com/v1/audio-analysis/7FYMyfcZtTnNbv5pVK0YbD,207085,4
Ben Rector,Wonderful World,36jkSaatEARkByil5kn9f6,Wonderful World,5SQkpKQP4woq7R4kG53HAy,48,2022-09-23,165801,False,https://open.spotify.com/track/5SQkpKQP4woq7R4kG53HAy,False,https://p.scdn.co/mp3-preview/5899da18a248e2c89afeaae375cf5997093a0601?cid=78e434819ce74de2a9da9bd344483f65,1,0.808,0.484,5,-7.495,1,0.0892,0.462,0.0,0.264,0.481,149.055,audio_features,5SQkpKQP4woq7R4kG53HAy,spotify:track:5SQkpKQP4woq7R4kG53HAy,https://api.spotify.com/v1/tracks/5SQkpKQP4woq7R4kG53HAy,https://api.spotify.com/v1/audio-analysis/5SQkpKQP4woq7R4kG53HAy,165801,4
